YEAR,WEEK,% WEIGHTED ILI,REGIONAL ILI BASELINE,Precip,Temp,Temp_off
2009,31,0.559123023,1.5,12.37634343,25.33767508,-23.50714299
2009,32,0.523568564,1.5,-3.352961948,12.74968847,-35.52796113
2009,33,0.496091407,1.5,9.317789038,27.84879745,-19.15932493
2009,34,0.475976171,1.5,7.805177902,27.84548304,-17.20922289
2009,35,0.462698743,1.5,1.836547631,22.31324239,-20.13257676
2009,36,0.455922154,1.5,-0.535226391,19.21673829,-20.00267871
2009,37,0.455494703,1.5,13.34845778,31.20019147,-4.222246708
2009,38,0.448927209,1.5,4.33182823,19.16959486,-11.94052751
2009,39,0.458760754,1.5,6.697133087,17.5413268,-8.80387971
2009,40,0.485112819,1.2,3.661803416,9.72973669,-11.46727545
2009,41,0.529672103,1.2,5.38460454,6.138705683,-9.601731163
2009,42,0.595755068,1.2,7.39122074,2.568830329,-7.486034294
2009,43,0.688549575,1.2,15.62937557,5.251852055,1.028841052
2009,44,0.815524916,1.2,26.87574342,11.23629908,12.90657941
2009,45,0.986987949,1.2,30.57471575,10.20616118,17.74543308
2009,46,1.216737833,1.2,30.6383815,6.263612163,19.56219188
2009,47,1.522703297,1.2,29.44365551,1.913128206,20.77754374
2009,48,1.927315252,1.2,21.09392445,-8.684573758,15.47123202
2009,49,2.457151578,1.2,14.69915828,-16.4342232,12.66154641
2009,50,3.141090022,1.2,17.05831608,-14.61937224,18.99306661
2009,51,4.00589464,1.2,4.031351885,-27.52055485,10.11954871
2009,52,5.068088136,1.2,11.65955195,-19.2803701,21.83979787
2010,1,6.321643215,1.2,18.64352055,-11.40744326,32.59455971
2010,2,7.723170359,1.2,8.338839746,-20.76080095,25.48288178
2010,3,9.180161043,1.2,10.95249094,-17.33329218,30.47930238
2010,4,10.55188192,1.2,6.344512847,-21.43131295,27.25460047
2010,5,11.67213467,1.2,-0.803138161,-28.4904663,20.3604677
2010,6,12.39323788,1.2,11.83977467,-16.23818588,32.06706964
2010,7,12.63369349,1.2,3.594983676,-25.34491925,21.71189743
2010,8,12.40278987,1.2,0.735410929,-29.46472798,15.65905222
2010,9,11.78768698,1.2,8.216689348,-23.50993711,19.02433136
2010,10,10.91398394,1.2,2.954482501,-30.38534108,8.940613482
2010,11,9.904838359,1.2,17.75762488,-17.07096515,18.4745489
2010,12,8.856398731,1.2,18.80076256,-17.16834872,14.07959729
